#Parameters = {Conductivity=2000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"S1,1 (4) [Magnitude / dB]"
#---------------------------------------------
1.1323599815369	-7.6716305086349
1.1343499422073	-7.6591005293468
1.1363400220871	-7.6469179613873
1.1383299827576	-7.6350845630144
1.1403199434280	-7.6235957912528
1.1423100233078	-7.6124525359515
1.1442999839783	-7.6016561328127
1.1462899446487	-7.5912049297237
1.1482800245285	-7.5810975118208
1.1502699851990	-7.5713375103897
1.1522599458694	-7.5619220909130
1.1542500257492	-7.5528531197082
1.1562399864197	-7.5441308863851
1.1582299470901	-7.5357575359525
1.1602200269699	-7.5277319629161
1.1622099876404	-7.5200557440892
1.1641999483109	-7.5127313068157
1.1661900281906	-7.5057588584575
1.1681799888611	-7.4991400981118
1.1701699495316	-7.4928736376662
1.1721600294113	-7.4869643053706
1.1741499900818	-7.4814121647969
1.1761399507523	-7.4762168501711
1.1781300306320	-7.4713814121530
1.1801199913025	-7.4669063600806
1.1821099519730	-7.4627923185728
1.1841000318527	-7.4590405099649
1.1860899925232	-7.4556511737836
1.1880799531937	-7.4526242280074
1.1900700330734	-7.4499619563056
1.1920599937439	-7.4476643133598
1.1940499544144	-7.4457316030673
1.1960400342941	-7.4441617994702
1.1980299949646	-7.4429584865494
1.2000199556351	-7.4421173136204
1.2020100355148	-7.4416413615226
1.2039999961853	-7.4415272482914
1.2059899568558	-7.4417759447950
1.2079800367355	-7.4423852708592
1.2099699974060	-7.4433525403210
1.2119599580765	-7.4446802702415
1.2139500379562	-7.4463620047425
1.2159399986267	-7.4483983843712
1.2179299592972	-7.4507864273687
1.2199200391769	-7.4535236778692
1.2219099998474	-7.4566074948593
1.2238999605179	-7.4600359797694
1.2258900403976	-7.4638045211438
1.2278800010681	-7.4679088328998
1.2298699617386	-7.4723488157559
1.2318600416183	-7.4771172758242
1.2338500022888	-7.4822109486067
1.2358399629593	-7.4876266997601
1.2378300428391	-7.4933592728067
1.2398200035095	-7.4994042338160
1.2418099641800	-7.5057569196787
1.2438000440598	-7.5124133047688
1.2457900047302	-7.5193662456407
1.2477799654007	-7.5266117578518
1.2497700452805	-7.5341448780103
1.2517600059509	-7.5419584539997
1.2537499666214	-7.5500490911676
1.2557400465012	-7.5584093159423
1.2577300071716	-7.5670315068497
1.2597199678421	-7.5759143345333
1.2617100477219	-7.5850485354284
1.2637000083923	-7.5944280806305
1.2656899690628	-7.6040494352093
1.2676800489426	-7.6139026214659
1.2696700096130	-7.6239847345156
1.2716599702835	-7.6342863156034
1.2736500501633	-7.6448033632724
1.2756400108337	-7.6555288850342
1.2776299715042	-7.6664571615231
1.2796200513840	-7.6775827683066
1.2816100120544	-7.6888965372500
1.2835999727249	-7.7003929521955
1.2855900526047	-7.7120673309601
1.2875800132751	-7.7239143035735
1.2895699739456	-7.7359267349654
1.2915600538254	-7.7480973307386
1.2935500144958	-7.7604215531456
1.2955399751663	-7.7728929254308
1.2975300550461	-7.7855073111643
1.2995200157166	-7.7982580315365
1.3015099763870	-7.8111376402228
