#Parameters = {Conductivity=3000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) (Conductivity=3000) [Real]"
#----------------------------------------------------------------------------------------
0.40000000000000	-28.056337312879
0.45000000000000	-25.320307255286
0.50000000000000	-24.825008804865
0.55000000000000	-26.783710758127
0.60000000000000	-27.867483961963
0.65000000000000	-26.159567144031
0.70000000000000	-24.065477098802
0.75000000000000	-22.714809898579
0.80000000000000	-22.182433132773
0.85000000000000	-22.167244742126
0.90000000000000	-22.474635086317
0.95000000000000	-22.343488969522
1.0000000000000	-22.725050529924
1.0500000000000	-23.164336166277
1.1000000000000	-24.079055736464
1.1500000000000	-24.830881127489
1.2000000000000	-25.877058762589
1.2500000000000	-26.354111277632
1.3000000000000	-26.200051795746
1.3500000000000	-26.298435668161
1.4000000000000	-26.768086862589
1.4500000000000	-28.034851397299
1.5000000000000	-29.737276827710
#Parameters = {Conductivity=2500; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"Realized Gain,3D,Max. Value (Solid Angle) (Conductivity=2500) [Real]"
#----------------------------------------------------------------------------------------
0.10000000000000	-50.125716529699
0.15000000000000	-42.155438975673
0.20000000000000	-36.055764911747
0.25000000000000	-30.611820584695
0.30000000000000	-27.858449893475
0.35000000000000	-28.551170322981
0.40000000000000	-28.023140185512
0.45000000000000	-25.278468573388
0.50000000000000	-24.773135019395
0.55000000000000	-26.720171068015
0.60000000000000	-27.786755825018
0.65000000000000	-26.064750502457
0.70000000000000	-23.947227245375
0.75000000000000	-22.574989219510
0.80000000000000	-22.020062979137
0.85000000000000	-21.982416926922
0.90000000000000	-22.258423190711
0.95000000000000	-22.104905462869
1.0000000000000	-22.473018210095
1.0500000000000	-22.925601442310
1.1000000000000	-23.842151777229
1.1500000000000	-24.576446935255
1.2000000000000	-25.585827981242
1.2500000000000	-26.210552675165
1.3000000000000	-26.070614710206
1.3500000000000	-26.149998857907
1.4000000000000	-26.582466081828
1.4500000000000	-27.808764786799
1.5000000000000	-29.507823341462
